,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
20513,601,21996,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-06-01T09:08:56Z,
20514,601,21997,387.0,388.0,387.0,388.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:09:43Z,
20515,601,21998,388.0,392.0,388.0,392.0,Valentinian II,Valentinian II,AE 1-4 (UK find),2.0,Arelato,2017-08-28 08:25:10.162802,2015-06-01T09:10:16Z,2015-06-01T09:10:22Z
20516,601,21999,388.0,392.0,388.0,392.0,Valentinian II,Valentinian II,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:10:43Z,
20517,601,22000,,,379.0,395.0,Theodosius I,Theodosius I,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-06-01T09:11:02Z,
20518,601,22001,388.0,395.0,388.0,395.0,Arcadius,Arcadius,AE 1-4 (UK find),1.0,Arelato,2017-08-28 08:25:10.162802,2015-06-01T09:11:33Z,
20519,601,22002,388.0,395.0,388.0,395.0,Arcadius,Arcadius,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-06-01T09:11:52Z,
20520,601,22003,,,395.0,408.0,Arcadius,Arcadius,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-06-01T09:12:12Z,
20521,601,22004,383.0,387.0,383.0,387.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),2.0,Roma,2017-08-28 08:25:10.162802,2015-06-01T09:13:30Z,
20522,601,22005,383.0,387.0,383.0,387.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:13:48Z,
20523,601,22006,388.0,402.0,388.0,402.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),1.0,Arelato,2017-08-28 08:25:10.162802,2015-06-01T09:16:10Z,
20524,601,22007,388.0,402.0,388.0,402.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),2.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-06-01T09:16:34Z,
20525,601,22008,388.0,402.0,388.0,402.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),38.0,,2017-08-28 08:25:10.162802,2015-06-01T09:16:57Z,
20526,601,22009,,,378.0,408.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),154.0,,2017-08-28 08:25:10.162802,2015-06-01T09:17:23Z,
20551,1295,26022,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-09-07T13:09:43Z,
20566,762,26271,293.0,361.0,293.0,361.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),,,2017-08-28 08:25:10.162802,2015-09-08T14:57:26Z,2015-09-08T14:57:39Z
20572,2138,25104,,380.0,300.0,380.0,Uncertain - 4th century,Unknown,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-08-18T14:32:59Z,
20573,2135,25098,,,300.0,399.0,Uncertain - 4th century,Unknown,AE 1-4 (UK find),15.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-08-18T14:17:01Z,2015-08-18T14:17:56Z
20633,1207,25369,,,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),6.0,,2017-08-28 08:25:10.162802,2015-08-24T14:03:55Z,
20634,1207,25370,,,350.0,353.0,Decentius,Decentius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-08-24T14:04:05Z,
