id,Name,Description,Latitude,Longitude,Geonamesid,AdminDivision,AdminDivisionNameLong,Region,RomanProvince,Rhineside
2637,Kisvárda,,48.2166700,22.0833300,NULL,HU_16_926,Kisvárda,NULL,NULL,NULL
2638,Gulács,,48.0871800,22.4749100,NULL,HU_16_2944,Gulács,NULL,NULL,NULL
2639,Polgár,,47.8666700,21.1166700,NULL,HU_09_2311,Polgár,NULL,NULL,NULL
2640,Köröm,,47.9833300,20.9500000,NULL,HU_04_2660,Köröm,NULL,NULL,NULL
2641,Újdiósgyőr,,48.1013524,20.7324334,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2642,Miskolctapolca,,48.0633400,20.7475100,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2643,Hejőbába,,47.9000000,20.9500000,NULL,HU_04_665,Hejőbába,NULL,NULL,NULL
2644,Tibolddaróc,,47.9166700,20.6333300,NULL,HU_04_3044,Tibolddaróc,NULL,NULL,NULL
2645,Kisújszállás,,47.2166700,20.7666700,NULL,HU_11_2591,Kisújszállás,NULL,NULL,NULL
2646,Kocsér,,47.0016500,19.9206700,NULL,HU_14_3277,Kocsér,NULL,NULL,NULL
2647,Kálló,,47.7485700,19.4861000,NULL,HU_13_864,Kálló,NULL,NULL,NULL
2648,Mende,,47.4313300,19.4562800,NULL,HU_14_369,Mende,NULL,NULL,NULL
2649,Alsógöd,,47.6830900,19.1427000,NULL,HU_14_2364,Göd,NULL,NULL,NULL
2650,Pátroha,,48.1666700,22.0000000,NULL,HU_16_1218,Pátroha,NULL,NULL,NULL
2651,Porcsalma,,47.8833300,22.5666700,NULL,HU_16_1721,Porcsalma,NULL,NULL,NULL
2652,Tiszaeszlár,,48.0500000,21.4666700,NULL,HU_16_911,Tiszaeszlár,NULL,NULL,NULL
2653,Ömböly,,47.7000000,22.2166700,NULL,HU_16_2655,Ömböly,NULL,NULL,NULL
2654,Tiszanagyfalu,,48.0920800,21.4728000,NULL,HU_16_2725,Tiszanagyfalu,NULL,NULL,NULL
2655,Ibrány,,48.1232900,21.7095300,NULL,HU_16_2563,Ibrány,NULL,NULL,NULL
2656,Nyírtét,,48.0060500,21.9275700,NULL,HU_16_925,Nyírtét,NULL,NULL,NULL
2657,Máriapócs,,47.8830300,22.0250100,NULL,HU_16_1965,Máriapócs,NULL,NULL,NULL
2658,Oros,,47.9516704,21.7921824,NULL,HU_16_1720,Nyíregyháza,NULL,NULL,NULL
2659,Magy,,47.9405200,21.9831300,NULL,HU_16_1662,Magy,NULL,NULL,NULL
2660,Tyukod,,47.8537800,22.5633000,NULL,HU_16_3139,Tyukod,NULL,NULL,NULL
2661,Anarcs,,48.1764200,22.1116700,NULL,HU_16_2997,Anarcs,NULL,NULL,NULL
2662,Apagy,,47.9643100,21.9353900,NULL,HU_16_2030,Apagy,NULL,NULL,NULL
2663,Balkány,,47.7706600,21.8631400,NULL,HU_16_2695,Balkány,NULL,NULL,NULL
2664,Beregsurány,,48.1662000,22.5520000,NULL,HU_16_2067,Beregsurány,NULL,NULL,NULL
2665,Csenger,,47.8358200,22.6809600,NULL,HU_16_3064,Csenger,NULL,NULL,NULL
2666,Dombrád,,48.2333300,21.9333300,NULL,HU_16_1450,Dombrád,NULL,NULL,NULL
2667,Érpatak,,47.8000000,21.7666700,NULL,HU_16_1085,Érpatak,NULL,NULL,NULL
2668,Geszteréd,,47.7666700,21.7833300,NULL,HU_16_2889,Geszteréd,NULL,NULL,NULL
2669,Kállósemjén,,47.8608100,21.9392900,NULL,HU_16_3140,Kállósemjén,NULL,NULL,NULL
2670,Kék,,48.1166700,21.8833300,NULL,HU_16_2843,Kék,NULL,NULL,NULL
2671,Kemecse,,48.0753200,21.8062500,NULL,HU_16_1999,Kemecse,NULL,NULL,NULL
2672,Kisléta,,47.8424400,22.0039300,NULL,HU_16_2847,Kisléta,NULL,NULL,NULL
2673,Laskod,,48.0583800,22.0435900,NULL,HU_16_2129,Laskod,NULL,NULL,NULL
2674,Márokpapi,,48.1449700,22.5139000,NULL,HU_16_3322,Márokpapi,NULL,NULL,NULL
2675,Mátészalka,,47.9552800,22.3234800,NULL,HU_16_1887,Mátészalka,NULL,NULL,NULL
2676,Napkor,,47.9379700,21.8676300,NULL,HU_16_842,Napkor,NULL,NULL,NULL
2677,Nyírbogát,,47.8034000,22.0656100,NULL,HU_16_3115,Nyírbogát,NULL,NULL,NULL
2678,Nyírmihálydi,,47.7397600,21.9644500,NULL,HU_16_2636,Nyírmihálydi,NULL,NULL,NULL
2679,Nyírtura,,48.0141900,21.8346700,NULL,HU_16_1209,Nyírtura,NULL,NULL,NULL
2680,Ópályi,,47.9977100,22.3261700,NULL,HU_16_2792,Ópályi,NULL,NULL,NULL
2681,Petneháza,,48.0608400,22.0748500,NULL,HU_16_1722,Petneháza,NULL,NULL,NULL
2682,Tiszabercel,,48.1500000,21.6500000,NULL,HU_16_385,Tiszabercel,NULL,NULL,NULL
2683,Tiszarád,,48.1253600,21.7988100,NULL,HU_16_1020,Tiszarád,NULL,NULL,NULL
2684,Tiszavasvári,,47.9666700,21.3500000,NULL,HU_16_759,Tiszavasvári,NULL,NULL,NULL
2685,Tunyogmatolcs,,47.9666700,22.4666700,NULL,HU_16_1321,Tunyogmatolcs,NULL,NULL,NULL
2686,Újfehértó,,47.8000000,21.6833300,NULL,HU_16_2661,Újfehértó,NULL,NULL,NULL
2687,Záhony,,48.4090600,22.1761400,NULL,HU_16_1620,Záhony,NULL,NULL,NULL
2688,Múcsony,,48.2666700,20.6833300,NULL,HU_04_2154,Múcsony,NULL,NULL,NULL
2689,Tállya,,48.2333300,21.2333300,NULL,HU_04_1221,Tállya,NULL,NULL,NULL
2690,Szügy,,48.0352700,19.3252600,NULL,HU_13_1878,Szügy,NULL,NULL,NULL
2691,Szászberek,,47.3166700,20.1000000,NULL,HU_11_577,Szászberek,NULL,NULL,NULL
2692,Cibakháza,,46.9597600,20.1975300,NULL,HU_11_2293,Cibakháza,NULL,NULL,NULL
2693,Tiszajenő,,47.0333300,20.1500000,NULL,HU_11_2934,Tiszajenő,NULL,NULL,NULL
2694,Mesterszállás,,46.9500000,20.4333300,NULL,HU_11_3023,Mesterszállás,NULL,NULL,NULL
2695,Mezőhék,,47.0000000,20.4000000,NULL,HU_11_2628,Mezőhék,NULL,NULL,NULL
2696,Csépa,,46.8055500,20.1326800,NULL,HU_11_1317,Csépa,NULL,NULL,NULL
2697,Besenyszög,,47.3000000,20.2666700,NULL,HU_11_1130,Besenyszög,NULL,NULL,NULL
2698,Tiszainoka,,46.9040700,20.1537000,NULL,HU_11_2044,Tiszainoka,NULL,NULL,NULL
2699,Tiszaug,,46.8555400,20.0548700,NULL,HU_01_1409,Tiszaug,NULL,NULL,NULL
2700,"Dabas +20km",,47.1859400,19.3109100,NULL,HU_14_924,Dabas,NULL,NULL,NULL
2701,Örményes,,NULL,NULL,NULL,HU_11_2938,Örményes,NULL,NULL,NULL
2702,Kétpó,,NULL,NULL,NULL,HU_11_1981,Kétpó,NULL,NULL,NULL
